,title,price,asin,imageURLHighRes,ratings
12,"Welch's 100% Juice, Concord Grape, No Sugar Added, 64 Ounce Bottle",$3.69,B000OUYNC2,"['https://images-na.ssl-images-amazon.com/images/I/41p%2B6Wa23DL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41U78aPld5L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/415s3-cC05L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41mCwEeJwRL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51yhGN1IxnL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51xL9zEuL6L.jpg']",4.698795180722891
13,"Dole Fruit Bowls, Peaches in Strawberry Gel, 4.3 Ounce (4 Cups), All Natural Diced Peaches in Strawberry-Flavored Gel, Non-GMO Gluten-Free Fat-Free",$2.24,B000OUYN5Y,"['https://images-na.ssl-images-amazon.com/images/I/51-U6UkJnZL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51YFi2t-bEL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31CogjYNGiL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51YdqatJC3L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/411UjquDQrL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41HmMNCq75L.jpg']",4.483516483516484
14,"Dole Fruit Bowls, Diced Peaches in 100% Fruit Juice, 4 Ounce (4 Cups), All Natural Diced Peaches Packed in Fruit Juice, Naturally Gluten Free, Non-GMO, No Artificial Sweeteners",$2.24,B000OV4FY2,"['https://images-na.ssl-images-amazon.com/images/I/51sAZVJxuUL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51uy08E1YdL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31S3Ms29f0L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51rAprc27SL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41lIKroB3UL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41F%2BVbpCzrL.jpg']",4.219948849104859
15,"Annie's Macaroni and Cheese, Shells &amp; White Cheddar, 6 oz. Box",$1.48,B000P6L52Q,"['https://images-na.ssl-images-amazon.com/images/I/51RGN24ZUtL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61akHreP7wL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51cv0qF9AWL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61fZv0t7n5L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51xf9KsZAVL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51o57fmRu0L.jpg']",4.316831683168317
16,"Jet-Puffed Miniature Marshmallows, 16 Ounce Bag",$2.09,B000PKJB6Y,"['https://images-na.ssl-images-amazon.com/images/I/51i6ui5OIcL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51E6TmT6q0L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51XYHgdUcUL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31UncKzGNNL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/614U26nuUtL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51ZMGnr6KCL.jpg']",3.972413793103448
17,"Opti-Free Replenish Multi-Purpose Disinfecting Solution with Lens Case, 10-Ounces",$8.98,B000PKJB4G,"['https://images-na.ssl-images-amazon.com/images/I/41QQMoLAqdL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/315XRV3iLLL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41PB9MzAIZL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41SrrByoA9L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51xPqlczwHL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41%2B5NEuUVQL.jpg']",4.396351575456053
18,"Pasta Roni Angel Hair Pasta with Herbs, 4.8 oz",$0.98,B000PL0YG4,"['https://images-na.ssl-images-amazon.com/images/I/51fSTdL6m-L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/515pnqgJ2zL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41pRTXBXUzL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51iXOGDyICL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41saaIeVdnL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41CpWzIusBL.jpg']",4.528455284552845
19,"Rice A Roni, Herb &amp; Butter Flavor, Rice Mix, 7.2 oz",$0.98,B000PL2VTW,"['https://images-na.ssl-images-amazon.com/images/I/51PWzzOMbcL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61oE6yWEZUL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41WHenTq5TL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51DU-j5v1aL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41v8P7xdzVL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51QyEZWza%2BL.jpg']",4.561068702290076
20,"Betty Crocker Frosting, Rich &amp; Creamy Gluten Free Frosting, Vanilla, 16 oz Canister",$1.59,B000PL69NG,"['https://images-na.ssl-images-amazon.com/images/I/51W52Wg5CAL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61nloSToiSL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51YESX6kDAL.jpg']",4.6
21,"Starbucks Espresso Roast Whole Bean Coffee (Dark), 12 Oz",$7.99,B000PUIPXO,"['https://images-na.ssl-images-amazon.com/images/I/51K044W7H9L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51gCmWrhi-L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41zg26BoQxL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51obZcwbcdL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51K7xUb6VqL.jpg']",4.228571428571429
22,PASTA RONI SHELL WHT CHEDDAR 6.2OZ,$0.98,B000PUJ01K,"['https://images-na.ssl-images-amazon.com/images/I/51BM7tGHz8L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51tlMqqRTDL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61HdxJ%2BALIL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51PQ5teIvQL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ck7VWT-9L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41BDMtxZtCL.jpg']",4.46448087431694
23,QKR MINI RCE SNCKS CHDDR 6.06OZ,$2.98,B000PWIR7Q,"['https://images-na.ssl-images-amazon.com/images/I/511JaoHumuL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51NWUY0CMwL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51FBCIVCGjL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51QAanjAjNL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51bRlMpoS6L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31XlnNgvCFL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51QnHtwIbhL.jpg']",4.375
24,"Newman's Own Dressing, Balsamic Vinaigrette, 16 Fl Oz",$2.99,B000PYB5PA,"['https://images-na.ssl-images-amazon.com/images/I/41O6ox6dFwL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41LoigOmHKL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31Tm4f2ljEL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51k1NH-bmFL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/415jrH4CBeL.jpg']",4.85
25,"Newman's Own Salsa, Medium Chunky, 16 Oz",$2.80,B000PYE2H8,"['https://images-na.ssl-images-amazon.com/images/I/31XUVBJqA6L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51GdMDdQQRL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/515wZxY6myL.jpg']",4.0
26,"Rosarita Vegetarian Refried Beans, 16 oz, 12 Pack",$16.84,B000Q3FRP4,"['https://images-na.ssl-images-amazon.com/images/I/514p5Cm5RjL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51XLzJ-GHrL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31AW5PLf6LL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51SLGuI3nfL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51iFpLW013L.jpg']",4.5
27,"BUSH'S BEST Pinto Beans, Canned Beans, Prime Pantry, 16 oz.",$0.89,B000Q5K1WG,"['https://images-na.ssl-images-amazon.com/images/I/319FFu1teWL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51%2BdoEgcbkL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51JEezmuUTL.jpg']",4.45
28,"Dole Fruit Bowls, Pineapple Tidbits in 100% Pineapple Juice, 4 Ounce (4 Cups), All Natural Pineapple Tidbits Packed in Pineapple Juice, Naturally Gluten-Free, Non-GMO, No Artificial Sweeteners",$2.24,B000Q5G7KG,"['https://images-na.ssl-images-amazon.com/images/I/514bNgJXj0L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51D%2BlKYG83L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/517sWfphKfL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/410cZ5%2BxblL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41baWvCwimL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31VnnfBrvcL.jpg']",4.4465648854961835
29,"Dole Pineapple Juice, 46 Oz",$2.50,B000Q5K1O4,"['https://images-na.ssl-images-amazon.com/images/I/51S6fRM6UJL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51XdvK%2BrsqL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41hEMztYtqL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51d74f4tVJL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41MJve%2Bc3YL.jpg']",4.433333333333334
30,"Progresso Soup, Traditional, Chicken &amp; Sausage Gumbo Soup, 18.5 oz",$1.65,B000Q5KV1C,"['https://images-na.ssl-images-amazon.com/images/I/517bs14JS3L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/6118t8wx38L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51hyxFP0ofL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31vh6vCL0oL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51PpmQt-kcL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61U2p1NfMDL.jpg']",4.345588235294118
31,"Dole Fruit Bowls, Mandarin Oranges in 100% Fruit Juice, 4 Ounce (4 Cups), All Natural Mandarin Orange Segments Packed in Fruit Juice, Naturally Gluten-Free, Non-GMO, No Artificial Sweeteners",$2.24,B000Q5K1RG,"['https://images-na.ssl-images-amazon.com/images/I/51sUizYkcQL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/5180mkYJ29L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31wT-x8yxLL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51ykCXPU7SL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31mBGKEzwGL.jpg']",4.360881542699724
32,Progresso Gluten Free Rich &amp; Hearty Chicken Corn Chowder Soup 18.5 oz. Can,$1.69,B000Q5NG9G,"['https://images-na.ssl-images-amazon.com/images/I/51meLLjTNIL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61qtp57kukL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51LGBJIGvDL.jpg']",4.421768707482993
33,"Progresso Soup, Reduced Sodium, Roasted Chicken Noodle Soup, 18.5 oz Can",$1.69,B000Q5NFMY,"['https://images-na.ssl-images-amazon.com/images/I/51pT-feSLmL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51DEjYYT9BL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61dr47KY-NL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51WfMETwNML.jpg']",4.182795698924731
34,"Progresso Soup, Rich &amp; Hearty, New England Clam Chowder Soup, Gluten Free, 18.5 oz Can",$1.69,B000Q5NG78,"['https://images-na.ssl-images-amazon.com/images/I/51GSUvf-FtL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61rXazqTNsL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51FkviMTIQL.jpg']",4.1692073170731705
35,"Progresso Soup, Traditional, Hearty Chicken &amp; Rotini Soup, 19 oz Can",$1.67,B000Q5PDNI,"['https://images-na.ssl-images-amazon.com/images/I/51jaCYZDtpL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61-fYkgyBIL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31yfyCznxoL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51OpvXkrdRL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61IOEGxjW3L.jpg']",4.44
36,"Morton Coarse Kosher Salt Box, 48 Ounce",$2.44,B000Q68WSA,"['https://images-na.ssl-images-amazon.com/images/I/51mqxmaDLaL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/511vpYm7kYL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51HWQ0qHt3L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/516lqB-KKYL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51CZr1HUDwL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51qXLz-hQoL.jpg']",4.5985576923076925
37,Progresso Cannellini Beans 15 oz.,$0.73,B000Q68W4E,"['https://images-na.ssl-images-amazon.com/images/I/51fkXqr5BZL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51KNNWUb1qL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51GBRWQk7ZL.jpg']",4.2272727272727275
38,"Kikkoman Soy Sauce, 10 Fl Oz",$2.89,B000QCJ7UQ,"['https://images-na.ssl-images-amazon.com/images/I/41TP78%2B%2BTKL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/310MhvuyM8L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41CTcpuLu9L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31SEJT1ZE5L.jpg']",4.5375
39,"Krusteaz Cornbread and Muffin Mix, Honey, 15-Ounces",$1.58,B000QCPNZY,"['https://images-na.ssl-images-amazon.com/images/I/515d2lvg9aL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51j4UTU4USL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/517xsZL9JaL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51eFBTUFHzL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/515L19C87dL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51HksCPsNeL.jpg']",4.652054794520548
40,"Old El Paso Taco Shells, Stand 'n Stuff, 10 Count",$1.69,B000QJ8SM2,"['https://images-na.ssl-images-amazon.com/images/I/41K-fw9MAKL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51YnBeJ2TbL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41UX%2BEpG9iL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41S0-gOwoTL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41dMEpb%2Bg5L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ld9pGdh6L.jpg']",3.7569444444444446
41,"Velveeta Shells &amp; Cheese Dinner, 12 oz",$2.80,B000QJ8SY0,"['https://images-na.ssl-images-amazon.com/images/I/51uL3GZtm-L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51xVFphQrHL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51BilcXfNNL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/615Zp4ldpzL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31oLWBnn6wL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41VUiFNIt3L.jpg']",4.416289592760181
42,"Stagg Classic Chili With Beans, 15 Ounce",$2.09,B000QJUDYS,"['https://images-na.ssl-images-amazon.com/images/I/51Qk6ItSMPL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41NcVo%2BtpCL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/517hM42OWhL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61hXQcYTYCL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61H9VaTA3QL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51EM7VB-apL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51XTUYgMBAL.jpg']",4.12037037037037
43,"Bob's Red Mill Baking Flour, Gluten Free, 22 Ounce",$3.79,B000QSHJZU,"['https://images-na.ssl-images-amazon.com/images/I/41-ZajV0MmL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Sei5Tg9sL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41QZBIFY9oL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31yCdZFiOiL.jpg']",4.371428571428571
44,"Santa Cruz Organic Apple-Apricot Sauce (6 Count, 4 Oz Each)",$3.99,B000QSJM96,"['https://images-na.ssl-images-amazon.com/images/I/41e5If-3MaL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31i3IoBQcAL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51lvpv6eZML.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41mctO8E0mL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41KW8pmjGxL.jpg']",4.333333333333333
45,"Red Star Active Dry Yeast, 3 Count",$1.57,B000QSTKFC,"['https://images-na.ssl-images-amazon.com/images/I/511G%2BD42lZL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31AztiHsofL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31QcrA8zjVL.jpg']",4.672703751617076
46,"Thai Kitchen Organic Coconut Milk, 13.66 oz",$2.59,B000QSTJYO,"['https://images-na.ssl-images-amazon.com/images/I/51sZ9Q1kbxL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Qn4VzzKUL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61jv4iYiYVL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51-ylesOjbL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51S8ftjcDnL.jpg']",4.37012987012987
47,"Kashi, Chewy Granola Bars, Peanut Peanut Butter, Non-GMO Project Verified, 7.4 oz (6 Count)",$3.99,B000QU3N7Q,"['https://images-na.ssl-images-amazon.com/images/I/51f0hEZzhQL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/4117xMtXk9L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51xT1EeQpkL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/315R1NAE2uL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/3121WHkt1kL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/410rR-lqiBL.jpg']",3.888888888888889
48,"Lundberg Family Farms White Basmati Rice, 32 Ounce",$4.99,B000QV32C6,"['https://images-na.ssl-images-amazon.com/images/I/5130OS0k%2BlL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41OtxnuEHYL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51lZIrO47%2BL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31XDsbxkXNL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/518DAvTSicL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31YQXHeFc1L.jpg']",4.761904761904762
49,"Lundberg Family Farms Organic Short Grain Rice, Brown, 32 Ounce",$3.99,B000QV32CQ,"['https://images-na.ssl-images-amazon.com/images/I/5137PnHLv9L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31ELmXFENpL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51LKpr8QE6L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31kphNLBWqL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/513tvx4GY7L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31ZujlPM0gL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Sk9xVCGBL.jpg']",4.685714285714286
50,"Lundberg Family Farms Basmati Rice, California Brown, 32 Ounce",$3.49,B000QV54Y0,"['https://images-na.ssl-images-amazon.com/images/I/51PshK-QjFL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31QL3nnF0HL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/5138M97OdNL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41EHgVm0BgL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51NhCgXjjoL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31bRMHsRn1L.jpg']",4.605633802816901
51,"Lundberg Family Farms Organic Basmati Rice, California Brown, 32 Ounce",$4.99,B000QV54YK,"['https://images-na.ssl-images-amazon.com/images/I/51U1XS544LL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Sd%2BffqScL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/415aQNVJ-rL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51kgtQlxJOL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51WISTJUXTL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31VFHhwYDuL.jpg']",4.684782608695652
52,"Tinkyada Brown Rice Pasta, Penne, 16 Oz",$3.39,B000QV5M6A,"['https://images-na.ssl-images-amazon.com/images/I/51VqW32ZVjL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51EN5AYPv7L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41x4jixUIcL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Ct1eV5zRL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31wqkZa2m%2BL.jpg']",4.764705882352941
53,"San-J Organic Tamari Soy Sauce, Reduced Sodium, 10 Fl Oz",$4.81,B000QWVZZQ,"['https://images-na.ssl-images-amazon.com/images/I/41ObVOPuKyL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31bZwrVFBAL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51X8bOU087L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Pr-DxnJpL.jpg']",4.714285714285714
